provider_id,lat,lng
190046,29.9256409,-90.0922539
190060,30.204576,-93.19773699999999
190064,30.403958,-91.10706789999999
190065,30.4503866,-91.1524214
190102,30.150517,-92.03698299999999
190111,32.4840555,-93.7793019
190125,32.499967,-92.113586
190146,30.0131298,-90.1814247
190160,32.5129317,-92.1561531
190177,30.4754702,-90.1009108
190205,30.1979657,-92.0772429
190250,30.35755559999999,-89.91563800000002
190263,30.1736821,-92.0265158
200009,43.6532533,-70.27533319999999
200024,44.1020196,-70.214582
200033,44.80118210000001,-68.77781379999999
210001,39.6226768,-77.6851973
210004,39.0147079,-77.0347487
210005,39.4224989,-77.41505529999999
210007,39.3873256,-76.6111596
210008,39.2929945,-76.6130666
210009,39.2972451,-76.5922121
210011,39.2817753,-76.69324379999999
210015,39.3403944,-76.49679189999999
210019,38.3621015,-75.5984581
210022,38.9974266,-77.1104762
210023,38.9901193,-76.5341984
210027,39.6483691,-78.7328124
210029,39.29010100000001,-76.54683829999999
210032,39.608588,-75.832008
210033,39.5579723,-76.9906982
210043,39.13768719999999,-76.6228375
210044,39.3909715,-76.6247907
210048,39.2138598,-76.8848495
210049,39.5188422,-76.3461222
